PCON14CD,PCON_Name,house,salary,earnings,jsa,publicsector,degree,age,nonukborn,health,turnout
E14000530,Aldershot,62000,29051,540.3,1,9.2,60.9,55.8,1.1,1.5,40.1
E14000531,Aldridge-Brownhills,72000,25228,470.5,1.6,14.7,20.9,89.8,22.4,2,25.1
E14000532,Altrincham and Sale West,73000,36940,672.2,1,7.3,38.1,72.1,58.5,87.8,24.9
E14000533,Amber Valley,75000,25002,485.3,1.5,20.3,0.8,80.9,59.5,75.8,12.8
E14000534,Arundel and South Downs,75000,29506,587.6,0.7,9.2,29.8,74.2,2.2,87.8,62.9
E14000535,Ashfield,80000,23399,442,2.1,23.6,78.9,1,9,97.4,38.4
E14000536,Ashford,80000,24824,493.8,1.4,19.1,18.2,99.3,33.8,13.4,87.1
E14000537,Ashton-under-Lyne,81500,20983,430.2,1.7,29.3,29.9,97.9,29.7,54.5,33.5
E14000538,Aylesbury,82000,27827,512.8,0.9,25.8,16.6,81.9,91.2,29.4,78
E14000539,Banbury,84000,28157,537.4,0.6,15.9,68.7,95,91.3,92.9,18.8
E14000540,Barking,85000,27061,511.7,3.2,20,36.2,26.6,30.4,64.6,25
E14000541,Barnsley Central,85000,24818,477,2.9,30.1,73.2,95.2,93.1,5.9,19.7
E14000542,Barnsley East,87000,23881,453.8,2.5,18.4,90.1,88.6,66.4,24.2,68.9
E14000543,Barrow and Furness,88500,28649,538.1,2.5,21,89.6,42.7,98.1,20.1,50.7
E14000544,Basildon and Billericay,90000,30302,535.3,2.1,14.6,85.8,53,40.2,16.3,55.2
E14000545,Basingstoke,90000,x,622,0.9,14.9,76.4,42.4,81.1,37.8,74.9
E14000546,Bassetlaw,91250,25483,469.5,2,18.6,13.2,43.3,60.1,91.6,0.9
E14000547,Bath,92000,28662,527.8,0.9,20.4,45.5,80.7,6.2,87.1,21.8
E14000548,Batley and Spen,92000,23434,462.5,2.4,17.9,47.9,57.9,71.8,39.3,53.7
E14000549,Battersea,92000,40579,704.7,1.7,11.7,52.4,79,59.1,4.3,95.2
E14000550,Beaconsfield,92250,35559,659.1,0.7,7.1,74,4.2,77.9,58,84.3
